Albania,8,Overcast.,Tirana Airport,"18 Nov 2024, 04:29:30","18 Nov 2024, 03:20",N/A,1014,82,5,24/12/2999
Algeria,19,Passing clouds.,Alger-Port,"18 Nov 2024, 04:29:30","18 Nov 2024, 01:00",10,1017,92,18,24/12/2999
Angola,24,Passing clouds.,Luanda  Airport,"18 Nov 2024, 04:29:31","18 Nov 2024, 03:00",N/A,1010,89,22,24/12/2999
Antigua and Barbuda,26,Passing clouds.,Vc Bird International Antigua Airport,"17 Nov 2024, 23:29:31","17 Nov 2024, 22:00",N/A,1012,84,23,24/12/2999
Argentina,16,Overcast.,Buenos Aires Airport,"18 Nov 2024, 00:29:31","17 Nov 2024, 23:00",N/A,1018,77,12,24/12/2999
Armenia,1,Clear.,Makko,"18 Nov 2024, 07:29:31","18 Nov 2024, 07:00",10,1018,90,0,24/12/2999
Aruba,29,Passing clouds.,Queen Beatrix Airport - Aruba,"17 Nov 2024, 23:29:31","17 Nov 2024, 22:00",N/A,1011,74,24,24/12/2999
Australia,23,Sunny.,Canberra Airport,"18 Nov 2024, 14:29:32","18 Nov 2024, 13:30",N/A,1015,23,1,24/12/2999
Austria,7,Clear.,Vienna Schwechat-Flughafen Airport,"18 Nov 2024, 04:29:32","18 Nov 2024, 03:20",16,1012,76,3,24/12/2999
Azerbaijan,9,Light rain. Overcast.,Baku / Bine Airport,"18 Nov 2024, 07:29:32","18 Nov 2024, 06:00",N/A,1019,87,7,24/12/2999
Bahamas,25,Passing clouds.,Nassau Airport,"17 Nov 2024, 22:29:32","17 Nov 2024, 21:00",N/A,1019,54,15,24/12/2999
Bahrain,22,Clear.,Bahrain International Airport,"18 Nov 2024, 06:29:33","18 Nov 2024, 05:30",16,1014,69,16,24/12/2999
Bangladesh,18,Clear.,Dhaka,"18 Nov 2024, 09:29:33","18 Nov 2024, 06:00",4,1013,76,14,24/12/2999
Barbados,26,Scattered showers. Passing clouds.,Grantley Adams,"17 Nov 2024, 23:29:33","17 Nov 2024, 22:00",N/A,1011,89,24,24/12/2999
Belarus,4,Mostly cloudy.,Minsk,"18 Nov 2024, 06:29:33","18 Nov 2024, 05:30",8,997,93,3,24/12/2999
Belgium,8,Passing clouds.,Brussels National Airport,"18 Nov 2024, 04:29:34","18 Nov 2024, 03:20",N/A,1010,87,6,24/12/2999
Belize,27,Overcast.,Belize / Phillip Goldston Intl. Airport,"17 Nov 2024, 21:29:34","17 Nov 2024, 18:00",25,1007,88,24,24/12/2999
Benin,27,Passing clouds.,Cotonou Airport,"18 Nov 2024, 04:29:34","18 Nov 2024, 03:00",N/A,1009,89,25,24/12/2999
Bermuda,20,Scattered showers. Partly cloudy.,Bermuda,"17 Nov 2024, 23:29:34","17 Nov 2024, 21:55",N/A,1011,69,14,24/12/2999
