USA,25,Sunny,Washington DC,2024-11-28,2024-11-28 10:00,10km,1013hPa,50%,18°C,2024-12-31
Canada,15,Cloudy,Ottawa,2024-11-28,2024-11-28 10:00,8km,1020hPa,60%,10°C,2024-12-31
USA,25,Sunny,Washington DC,2024-11-28,2024-11-28 10:00,10km,1013hPa,50%,18°C,2024-12-31
Canada,15,Cloudy,Ottawa,2024-11-28,2024-11-28 10:00,8km,1020hPa,60%,10°C,2024-12-31
USA,25,Sunny,Washington DC,2024-11-28,2024-11-28 10:00,10km,1013hPa,50%,18°C,2024-12-31
Canada,15,Cloudy,Ottawa,2024-11-28,2024-11-28 10:00,8km,1020hPa,60%,10°C,2024-12-31
USA,25,Sunny,Washington DC,2024-11-28,2024-11-28 10:00,10km,1013hPa,50%,18°C,2024-12-31
Canada,15,Cloudy,Ottawa,2024-11-28,2024-11-28 10:00,8km,1020hPa,60%,10°C,2024-12-31
USA,25,Sunny,Washington DC,2024-11-28,2024-11-28 10:00,10km,1013hPa,50%,18°C,2024-12-31
Canada,15,Cloudy,Ottawa,2024-11-28,2024-11-28 10:00,8km,1020hPa,60%,10°C,2024-12-31
Albania,16,Broken clouds.,Tirana Airport,"28 Nov 2024, 16:34:06","28 Nov 2024, 15:50",N/A,1023,83,13,24/12/2999
Algeria,20,Passing clouds.,Alger-Port,"28 Nov 2024, 16:34:06","28 Nov 2024, 13:00",9,1024,82,17,24/12/2999
Angola,28,Broken clouds.,Luanda  Airport,"28 Nov 2024, 16:34:07","28 Nov 2024, 16:00",N/A,1010,70,22,24/12/2999
Antigua and Barbuda,28,Scattered clouds.,Vc Bird International Antigua Airport,"28 Nov 2024, 11:34:07","28 Nov 2024, 10:00",N/A,1015,74,23,24/12/2999
Argentina,24,Scattered clouds.,Buenos Aires Airport,"28 Nov 2024, 12:34:08","28 Nov 2024, 12:00",N/A,1011,69,18,24/12/2999
Armenia,4,Overcast.,Makko,"28 Nov 2024, 19:34:08","28 Nov 2024, 16:00",10,1020,62,-3,24/12/2999
Aruba,31,Passing clouds.,Queen Beatrix Airport - Aruba,"28 Nov 2024, 11:34:09","28 Nov 2024, 11:00",N/A,1011,75,26,24/12/2999
Australia,16,Clear.,Canberra Airport,"29 Nov 2024, 02:34:10","29 Nov 2024, 01:30",N/A,1018,94,15,24/12/2999
Austria,7,Sunny.,Vienna Schwechat-Flughafen Airport,"28 Nov 2024, 16:34:10","28 Nov 2024, 15:50",16,1020,71,2,24/12/2999
Azerbaijan,8,Sprinkles. Mostly cloudy.,Baku / Bine Airport,"28 Nov 2024, 19:34:11","28 Nov 2024, 19:00",N/A,1019,93,7,24/12/2999
Bahamas,28,Passing clouds.,Nassau Airport,"28 Nov 2024, 10:34:11","28 Nov 2024, 10:00",N/A,1016,70,22,24/12/2999
Bahrain,20,Passing clouds.,Bahrain International Airport,"28 Nov 2024, 18:34:11","28 Nov 2024, 17:30",N/A,1019,56,11,24/12/2999
Bangladesh,25,Passing clouds.,Dhaka,"28 Nov 2024, 21:34:12","28 Nov 2024, 18:00",4,1012,58,16,24/12/2999
Barbados,29,Scattered showers. Scattered clouds.,Grantley Adams,"28 Nov 2024, 11:34:13","28 Nov 2024, 11:00",N/A,1013,74,24,24/12/2999
Belarus,2,Overcast.,Minsk,"28 Nov 2024, 18:34:13","28 Nov 2024, 17:30",9,1019,93,1,24/12/2999
Belgium,8,Passing clouds.,Brussels National Airport,"28 Nov 2024, 16:34:14","28 Nov 2024, 15:50",N/A,1028,71,3,24/12/2999
Belize,23,Passing clouds.,Belize / Phillip Goldston Intl. Airport,"28 Nov 2024, 09:34:15","28 Nov 2024, 06:00",20,1013,96,22,24/12/2999
Benin,32,Passing clouds.,Cotonou Airport,"28 Nov 2024, 16:34:15","28 Nov 2024, 15:00",N/A,1010,67,25,24/12/2999
Bermuda,23,Passing clouds.,Bermuda,"28 Nov 2024, 11:34:16","28 Nov 2024, 10:55",N/A,1019,74,18,24/12/2999
Bhutan,-5,Cold.,Pagri,"28 Nov 2024, 21:34:16","28 Nov 2024, 18:00",30,1028,71,-9,24/12/2999
Bosnia-Herzegovina,10,Partly sunny.,Sarajevo / Butmir,"28 Nov 2024, 16:34:17","28 Nov 2024, 16:00",8,1020,100,10,24/12/2999
Botswana,31,Passing clouds.,Seretse Khama International Airport,"28 Nov 2024, 17:34:18","28 Nov 2024, 16:00",N/A,1014,8,-7,24/12/2999
Brazil,29,Scattered clouds.,Brasilia Aeroporto,"28 Nov 2024, 12:34:18","28 Nov 2024, 12:00",N/A,1017,51,18,24/12/2999
British Virgin Islands,30,Scattered clouds.,Beef Island - Tortola,"28 Nov 2024, 11:34:18","28 Nov 2024, 11:00",16,1015,70,24,24/12/2999
Brunei,25,Thunderstorms. Passing clouds.,Brunei Airport,"28 Nov 2024, 23:34:19","28 Nov 2024, 22:30",9,1010,100,25,24/12/2999
Bulgaria,10,Passing clouds.,Sofia Observ.,"28 Nov 2024, 17:34:20","28 Nov 2024, 14:00",12,1024,64,4,24/12/2999
Burundi,27,Thunderstorms. Broken clouds.,Bujumbura Airport,"28 Nov 2024, 17:34:20","28 Nov 2024, 16:00",N/A,1012,70,21,24/12/2999
Cambodia,28,Passing clouds.,Phnom-Penh / Pochentong,"28 Nov 2024, 22:34:21","28 Nov 2024, 21:30",9,1012,55,18,24/12/2999
Cameroon,29,Warm.,Yaounde,"28 Nov 2024, 16:34:22","28 Nov 2024, 13:00",N/A,N/A,47,17,24/12/2999
Canada,-1,Partly sunny.,Ottawa Int'L. Ont.,"28 Nov 2024, 10:34:23","28 Nov 2024, 09:00",24,1009,100,-1,24/12/2999
Cayman Islands,28,Passing clouds.,Owen Roberts Airportgrand Cayman,"28 Nov 2024, 10:34:23","28 Nov 2024, 10:00",N/A,1013,79,24,24/12/2999
Central African Republic,32,Sunny.,Bangui,"28 Nov 2024, 16:34:24","28 Nov 2024, 13:00",10,1010,44,18,24/12/2999
Chad,30,Passing clouds.,Ndjamena,"28 Nov 2024, 16:34:24","28 Nov 2024, 15:00",N/A,1013,18,3,24/12/2999
Chile,20,Passing clouds.,Pudahuel,"28 Nov 2024, 12:34:25","28 Nov 2024, 12:00",N/A,1016,38,5,24/12/2999
China,2,Chilly.,Beijing,"28 Nov 2024, 23:34:25","28 Nov 2024, 20:00",24,1018,45,-9,24/12/2999
Colombia,16,Partly sunny.,Bogota / Eldorado,"28 Nov 2024, 10:34:26","28 Nov 2024, 10:00",N/A,1028,72,11,24/12/2999
Congo,28,Partly sunny.,Brazzaville / Maya-Maya,"28 Nov 2024, 16:34:27","28 Nov 2024, 13:00",N/A,1014,70,22,24/12/2999
Congo Dem. Rep.,28,Partly sunny.,Brazzaville / Maya-Maya,"28 Nov 2024, 16:34:27","28 Nov 2024, 13:00",N/A,1014,70,22,24/12/2999
Cook Islands,23,Light rain. Passing clouds.,Rarotonga,"28 Nov 2024, 05:34:28","28 Nov 2024, 05:00",6,1011,94,22,24/12/2999
Costa Rica,23,Broken clouds.,Tobias Bolanos International,"28 Nov 2024, 09:34:28","28 Nov 2024, 09:00",N/A,1017,69,17,24/12/2999
Cote d'Ivoire (Ivory Coast),32,Haze.,Yamoussoukro,"28 Nov 2024, 15:34:29","28 Nov 2024, 12:00",8,1010,28,11,24/12/2999
Croatia,9,Partly sunny.,Zagreb / Pleso,"28 Nov 2024, 16:34:29","28 Nov 2024, 16:00",N/A,1019,94,8,24/12/2999
Cuba,25,Sunny.,Aeropuerto Jose Marti - Rancho-Boyeros - Habana,"28 Nov 2024, 10:34:29","28 Nov 2024, 09:50",9,1017,74,20,24/12/2999
